Store	Trend	Seasonality	Test	Cluster	Changed	Phase
0001	0.0051927755	-0.0021991182	FALSE	B	FALSE	Test #2 Weeks
0002	0.0660381063	-0.0004289135	FALSE	B	TRUE	Test #2 Weeks
0003	-0.0240233283	0.0049217581	FALSE	C	TRUE	Test #2 Weeks
0005	0.0877531938	-0.0022186227	FALSE	C	FALSE	Test #2 Weeks
0006	-0.1264348471	-0.0001458201	FALSE	C	TRUE	Test #2 Weeks
0007	0.0645436103	-0.0001273959	FALSE	C	TRUE	Test #2 Weeks
0008	-0.0646935447	0.0017514065	FALSE	B	TRUE	Test #2 Weeks
0009	-0.0324712919	0.0011855532	FALSE	B	FALSE	Test #2 Weeks
0010	-0.0534357408	0.0078068963	TRUE	B	FALSE	Test #2 Weeks
0011	0.0021314906	-0.0016269622	TRUE	C	FALSE	Test #2 Weeks
0012	-0.0478836555	0.0030206559	TRUE	B	FALSE	Test #2 Weeks
0013	0.0008318355	0.0011413575	TRUE	C	FALSE	Test #2 Weeks
0014	-0.0203169255	0.0012747671	FALSE	C	FALSE	Test #2 Weeks
0015	-0.0244360319	-0.0057952331	FALSE	B	FALSE	Test #2 Weeks
0016	0.1671237786	-0.0069113034	TRUE	C	FALSE	Test #2 Weeks
0017	0.0839299307	-0.0000348801	TRUE	C	FALSE	Test #2 Weeks
0018	-0.0005778546	-0.0013935160	FALSE	C	FALSE	Test #2 Weeks
0019	-0.0191390205	-0.0001518492	TRUE	B	FALSE	Test #2 Weeks
0020	0.0736684012	-0.0034374271	FALSE	B	TRUE	Test #2 Weeks
0021	0.0346202274	-0.0018362067	TRUE	B	FALSE	Test #2 Weeks
0022	-0.0331513649	0.0088367351	TRUE	B	FALSE	Test #2 Weeks
0023	-0.1403409008	0.0007896281	FALSE	C	TRUE	Test #2 Weeks
0025	0.0031731732	0.0046742097	FALSE	B	FALSE	Test #2 Weeks
0026	0.0757090208	0.0022954164	FALSE	C	TRUE	Test #2 Weeks
0027	0.0333991587	-0.0056869017	FALSE	C	FALSE	Test #2 Weeks
0028	-0.0239440243	-0.0001341305	FALSE	C	FALSE	Test #2 Weeks
0029	0.0447729752	0.0060161583	TRUE	B	FALSE	Test #2 Weeks
0030	0.0455501675	-0.0044533420	FALSE	B	FALSE	Test #2 Weeks
0031	0.0304791637	0.0021064510	FALSE	C	FALSE	Test #2 Weeks
0032	-0.0421643347	-0.0004907266	FALSE	B	FALSE	Test #2 Weeks
0033	-0.0393170492	-0.0112589625	FALSE	C	FALSE	Test #2 Weeks
0037	-0.2195458868	-0.0021491491	FALSE	B	FALSE	Test #2 Weeks
0038	-0.0182613702	-0.0033451199	FALSE	B	FALSE	Test #2 Weeks
0039	0.0327824480	-0.0033466277	FALSE	C	FALSE	Test #2 Weeks
0040	-0.3234871344	-0.0046869247	FALSE	C	FALSE	Test #2 Weeks
0041	0.1393738142	-0.0050919312	FALSE	B	FALSE	Test #2 Weeks
0042	-0.0156166693	-0.0000060055	FALSE	C	TRUE	Test #2 Weeks
0043	-0.0178133143	-0.0003103826	TRUE	C	FALSE	Test #2 Weeks
0044	0.0059592560	-0.0025499118	FALSE	C	TRUE	Test #2 Weeks
0045	-0.0271180078	0.0026837166	TRUE	C	FALSE	Test #2 Weeks
0046	0.1198189632	-0.0041714928	FALSE	C	FALSE	Test #2 Weeks
0047	0.0610431489	-0.0001856907	FALSE	B	FALSE	Test #2 Weeks
0048	-0.0933772097	-0.0060927468	TRUE	C	FALSE	Test #2 Weeks
0049	0.0899630795	-0.0116626761	FALSE	C	FALSE	Test #2 Weeks
0050	0.0704737442	0.0106722907	TRUE	B	FALSE	Test #2 Weeks
0051	0.0798948239	-0.0072621406	FALSE	C	FALSE	Test #2 Weeks
0052	-0.0673545390	-0.0032109436	FALSE	C	TRUE	Test #2 Weeks
0053	-0.0659356620	-0.0027883236	FALSE	C	FALSE	Test #2 Weeks
0054	0.0524188214	0.0019756269	FALSE	B	FALSE	Test #2 Weeks
0055	-0.0343123402	-0.0069162491	TRUE	C	FALSE	Test #2 Weeks
0056	-0.0114284450	-0.0001112087	FALSE	C	FALSE	Test #2 Weeks
0057	-0.1080970824	0.0073096560	TRUE	B	FALSE	Test #2 Weeks
